,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
60,4.7324805,5.618518,5.0829782,2.8512485,5.2211275,5.159271,4.8368773,2.4959621,5.8280444,5.6516347,3.994254,3.4901886,5.3465853,5.794058,4.3960557,2.488775,5.2892456
61,5.080608,5.011978,5.3226295,5.1375613,5.0827594,4.9214044,5.4981794,5.284397,4.9260597,5.291289,4.9813185,5.147701,5.1559167,5.1831517,4.781704,5.4229856,5.259117
62,4.115319,4.589762,3.4845848,4.4788713,4.4316635,4.6633124,4.843963,5.0791874,4.841773,5.1763315,4.6179514,4.9191523,3.9848788,4.329889,4.729499,4.5798755,4.2988954
63,2.5549333,4.4605985,3.9423308,4.9331107,4.594082,4.911707,4.81054,4.79655,4.8069983,4.6517954,3.5376263,2.0629864,2.7064188,2.687236,4.586038,4.562929,3.6535423
64,4.2200828,4.9540534,4.4010215,4.694482,5.1863136,5.412614,5.25891,5.203294,5.378254,4.756844,4.9982476,5.178142,5.275567,5.04979,5.261484,4.9156165,5.14792
65,3.0224628,4.293454,4.4660316,4.076497,4.248209,4.5198526,3.962936,4.628545,4.657979,4.009074,4.6373806,5.0610948,4.050556,4.475631,4.772469,4.13125,3.1694245
66,3.5226433,4.6761465,4.004925,4.9440107,4.7351074,4.6903906,4.70737,5.2183146,5.3068814,4.793778,5.0173826,4.8782425,5.2199965,4.9409657,4.935843,4.973821,4.8646803
67,2.8435376,3.86037,4.66485,4.558439,4.394625,3.9670367,4.630462,4.5787964,4.6697736,3.9545758,4.3120117,4.720565,4.0728083,4.4496264,4.174736,4.8405433,3.6229389
68,4.050435,4.531617,4.6930532,5.3875403,5.0445437,5.2172766,4.9658856,4.5455713,4.6790104,5.338955,4.8014073,5.091716,5.216584,4.780239,5.1787834,5.166149,4.544997
69,3.428391,4.645738,4.380061,4.0760293,4.291128,4.5993953,4.7086787,4.5438538,5.3309264,4.8246517,4.427866,4.260577,4.548329,4.355077,5.1190944,4.7287993,4.352097
70,4.564948,5.4952555,5.044569,4.711774,5.092242,5.2790775,4.6036596,4.4744625,5.0844035,5.025093,5.029208,5.0188756,5.1762,5.02443,4.7825,4.9418015,5.151755
71,2.1430051,2.9346156,2.9502091,3.306003,3.9612393,3.2409742,4.389469,4.284115,3.5624275,3.3883572,3.2581441,4.2254825,3.0338018,3.874527,3.3015854,2.8504345,2.9177034
72,3.775281,4.8833795,4.859744,4.949797,2.0132427,4.6235104,5.665568,4.6995726,4.349427,2.5018146,5.18327,4.561495,4.8879485,2.0073557,4.7935414,5.2392607,4.8713846
73,4.4027877,5.6018105,5.1961803,5.164686,5.4517174,5.0688524,5.202566,5.124953,5.3770843,5.3162355,5.298941,5.4744596,5.262302,5.6206045,5.3568606,5.660128,5.455312
74,2.579273,3.1759117,4.1805406,3.7314026,4.3718233,2.972163,3.4659576,3.418188,3.822654,3.999707,3.5852067,3.4940848,4.4911027,4.1572604,4.47675,3.8208897,3.7713778
75,1.9932654,2.2840064,2.2186804,2.943835,3.1208527,3.921839,2.282587,2.790768,2.09887,2.364463,2.8814914,2.4595773,3.1312616,2.855829,2.1846592,2.3836586,3.1027744
76,4.6379814,5.3783937,4.8142595,4.922341,4.992759,5.0022416,5.190799,4.7210374,5.1362996,5.201075,4.974203,5.000166,5.288207,5.982505,5.052615,5.27576,5.784916
77,4.379825,5.0942235,5.0381007,4.9031944,2.058586,3.077221,5.3661933,5.3513155,5.5439095,4.3217525,2.2650836,4.420271,5.12393,5.1177917,5.262317,3.2749453,2.282651
78,3.9552233,5.389368,5.0226426,5.029188,5.209775,3.981305,2.122211,3.8310597,4.7614307,4.9253535,4.9790754,5.1095023,3.9875338,2.1631181,3.978052,5.5012975,3.9998293
79,3.608262,2.8494637,2.8645582,4.323857,5.0185075,5.0979586,4.8577733,4.231127,4.548099,4.5966434,4.4937096,4.8758464,3.2764938,2.3798156,4.9289875,4.514794,4.3825684
80,3.2608361,5.0589914,4.5975385,5.2558613,5.2462783,4.936529,4.926891,4.7833195,4.905044,4.848077,4.558927,5.0287833,4.688094,4.9450502,5.213911,5.275515,4.8959193
81,3.7259014,5.293293,5.077463,5.2162957,5.296956,3.502934,2.1603396,3.0048683,5.035785,4.835807,5.067276,4.892874,4.4319057,2.012939,2.3433447,5.2520003,5.3110547
82,3.5482063,5.643228,5.483553,4.8614783,5.3151636,1.9121795,2.442878,5.3088307,5.1457434,5.497777,4.902796,4.23233,2.0106776,2.299998,4.9132166,4.6894464,5.004606
83,3.3425663,4.8752885,4.345623,5.0566707,4.079999,4.65368,4.634569,4.7528057,4.718078,5.0149403,4.356189,4.326407,3.7265093,1.9772435,2.4014888,2.753963,3.842217
84,4.101233,5.295132,4.9380703,4.9778647,5.4000597,2.2819958,2.469641,4.971209,5.4320827,5.596055,5.2175465,3.9013016,2.1013722,4.217313,5.7417297,4.836188,4.4662366
85,3.4667408,4.505317,5.324746,4.8809385,5.3088665,5.053167,4.7339916,5.6038237,4.9072533,5.3132095,4.9624734,3.4210367,2.21591,4.3759537,5.228179,4.8804398,4.0273795
